Degree,Cols1,Rows1,Finger,Stage,Level,Bend,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7
0,0,0,0,1,0,false,0.9836066,0.9767442,0.96710527,0.97979796,0.9722222,1.2117264,0.9765886,0.97959185,4,3,0.9826389,0.9768977,0.97651005,0.9790941,1.0397351,0.9790941,0.9761092,0.979661
0,0,0,0,1,1,false,0.9836066,0.9767442,0.97039473,0.97643095,0.9722222,0.98045605,0.9765886,0.9829932,4,3,0.9791667,0.9768977,0.97651005,0.9790941,1.0397351,0.9790941,0.97952217,0.979661
0,0,0,0,1,2,false,0.9836066,0.9767442,0.9736842,0.97979796,0.9722222,0.98045605,0.9799331,0.9829932,4,3,0.9826389,0.9768977,0.97315437,0.9756098,1.0331125,0.9790941,0.97952217,0.98644066
0,0,0,0,2,0,true,0.98032784,0.9800664,0.97039473,0.986532,0.9722222,0.9837133,0.9765886,0.9829932,4,3,0.9791667,0.9768977,0.9798658,0.9790941,1.0397351,0.9790941,0.97952217,0.979661
0,0,0,0,2,1,true,0.9836066,0.9767442,0.97039473,0.97979796,0.96875,0.9771987,0.9799331,0.9829932,4,3,0.9791667,0.97359735,0.97315437,1.2369338,1.0397351,0.9756098,0.9761092,0.9762712
0,0,0,0,2,2,true,0.9836066,0.9800664,0.97039473,0.98316497,0.9722222,0.9771987,0.9799331,0.97959185,4,3,0.9826389,0.97359735,0.97651005,0.9790941,1.0364238,0.9790941,0.9761092,0.979661
0,0,0,0,3,1,false,0.9836066,0.9800664,0.97039473,0.98316497,0.96875,0.9771987,0.9765886,0.97959185,4,3,0.9791667,0.990099,0.9798658,0.9756098,1.0397351,0.9756098,0.9761092,0.979661
0,0,0,0,3,1,true,0.9836066,0.9800664,0.97039473,0.97979796,0.9722222,0.9771987,0.9866221,0.97959185,4,3,0.9791667,0.9768977,0.97651005,0.9790941,1.0397351,0.9790941,0.97952217,0.979661
0,0,0,0,4,0,false,0.9836066,0.9767442,0.97039473,0.98316497,0.96875,0.9771987,0.9765886,0.9829932,4,3,0.9791667,0.9768977,0.97315437,0.9756098,1.0331125,0.9756098,0.9897611,0.9762712
0,0,0,0,4,0,true,0.9836066,0.9800664,0.9736842,0.97643095,0.96875,0.9771987,0.9765886,0.97959185,4,3,0.9791667,0.9768977,0.97651005,0.9790941,1.1225165,0.9790941,0.98293513,0.979661
0,0,0,0,5,2,false,0.98032784,0.9767442,0.96710527,0.97979796,1.125,0.9739414,0.9799331,0.97959185,4,3,0.9791667,0.9768977,0.97651005,0.9790941,1.0331125,0.9790941,0.97952217,0.979661
