Degree,Cols1,Rows1,Finger,Stage,Level,Bend,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7
0,0,0,0,1,0,false,1.0264026,1.0233333,1.029316,1.0468228,0.9312715,0.912892,0.95053005,0.91544116,4,3,0.9934211,0.98402554,1.0033445,1.0034602,1.2142857,0.98644066,0.98688525,1.003413
0,0,0,0,1,1,false,0.9306931,0.99333334,1.009772,1.0769231,0.604811,0.5958188,0.8657244,0.72794116,4,3,1.0427631,1.1182109,1.1070234,1.0207613,1.0714285,0.92542374,0.98688525,0.97952217
0,0,0,0,1,2,false,1.0165017,1.0033333,1.0162866,1.0668896,0.99312717,0.9581882,0.9681979,0.9632353,4,3,0.92105263,0.8690096,0.9063545,0.9619377,1.0714285,0.9627119,0.98032784,1.0102389
0,0,0,0,2,0,true,0.9372937,0.9533333,0.9771987,0.9966555,0.79725087,0.75958186,0.8763251,0.8161765,4,3,0.99013156,1.0127796,1.0200669,1.0,1.0714285,0.9830508,0.9836066,0.97952217
0,0,0,0,2,1,true,0.8613861,0.93666667,0.95114005,1.0167224,0.6082474,0.5749129,0.84452295,0.7242647,4,3,1.0493422,1.1597444,1.1337793,1.0553633,0.85714287,1.0,1.0098361,0.9419795
0,0,0,0,2,2,true,0.9141914,0.9166667,0.93811077,1.0167224,0.78350514,0.7108014,0.84805655,0.80514705,4,3,0.90789473,0.91054314,0.91973245,0.9896194,0.78571427,1.0271187,1.052459,0.9522184
0,0,0,0,3,1,false,0.9009901,0.9433333,0.97068405,1.0468228,0.6941581,0.6968641,0.84452295,0.8161765,4,3,1.0197369,1.1214057,1.103679,1.0380623,0.64285713,0.9627119,0.9901639,0.93856657
0,0,0,0,3,1,true,0.8877888,0.9166667,0.9413681,1.0100335,0.73195875,0.72125435,0.8515901,0.8492647,4,3,1.0296053,1.115016,1.0936455,1.0380623,0.64285713,0.95932204,0.9967213,0.93856657
0,0,0,0,4,0,false,0.97359735,0.97333336,0.9837133,0.9832776,0.8694158,0.85714287,0.90106004,0.8933824,4,3,0.99671054,1.0351437,1.0367893,1.0207613,0.71428573,0.96949154,0.9836066,0.9692833
0,0,0,0,4,0,true,0.8745875,0.8933333,0.92508143,0.95652175,0.78350514,0.76655054,0.8621908,0.8786765,4,3,1.0131578,1.0734824,1.0602007,1.0207613,0.64285713,0.9627119,0.9901639,0.9453925
0,0,0,0,5,2,false,1.0561056,1.03,1.009772,1.0200669,0.9725086,0.9547038,0.96466434,0.94485295,4,3,0.8947368,0.8434505,0.88294315,0.9653979,0.5,0.9118644,0.96065575,0.9931741
0,0,0,0,5,2,true,0.9405941,0.9266667,0.9055375,0.9297659,0.8831615,0.8292683,0.89045936,0.8713235,4,3,0.90789473,0.8785942,0.8929766,0.9619377,0.35714287,0.938983,0.9704918,0.9692833
0,0,0,1,1,0,false,1.0,0.99029124,1.0034246,0.99657536,0.9860627,0.9898305,1.0,0.98671097,4,3,0.989899,0.9811321,0.9836066,0.9968355,0.9862543,0.996875,0.9932886,0.9936709
0,0,0,1,1,1,false,0.9966216,1.0161812,1.0376712,1.0958904,0.9163763,0.9322034,0.96463025,1.0099667,4,3,1.003367,1.009434,0.9967213,0.98734176,0.9587629,0.971875,0.97315437,0.98417723
0,0,0,1,1,2,false,0.9324324,0.9514563,0.9794521,1.0376712,0.9512195,0.938983,0.97427654,0.95681065,4,3,0.96633,0.9465409,0.947541,0.95886075,0.9587629,0.953125,0.94630873,0.98417723
0,0,0,1,2,0,true,1.0405406,1.0453074,1.0582192,1.0547945,0.9407666,0.9220339,1.0,0.87375414,4,3,1.003367,1.0157232,1.0196722,0.99050635,1.0137457,0.95625,0.97315437,0.9968355
0,0,0,1,2,1,true,0.9932432,1.0323625,1.0479453,1.0684931,0.902439,0.8949153,0.9903537,0.86710966,4,3,1.016835,1.0534592,1.0557377,0.9968355,1.0034364,0.9375,0.98657715,1.0
0,0,0,1,2,2,true,1.0202702,1.02589,1.0308219,1.0308219,0.9581882,0.92542374,0.99678457,0.87375414,4,3,0.996633,1.0157232,1.0196722,0.99050635,1.0171821,0.971875,0.9597315,0.99050635
0,0,0,1,3,1,false,1.0337838,1.0388349,1.0513699,1.0684931,1.097561,1.1186441,1.0514469,1.1627907,4,3,1.043771,1.0786164,1.0754099,1.006329,1.0687286,0.91875,0.9899329,0.98734176
0,0,0,1,3,1,true,0.9527027,0.98058254,1.0102739,1.0582192,0.9547038,0.979661,0.9356913,1.0099667,4,3,1.013468,1.0408806,1.0426229,0.98734176,1.0756013,0.934375,0.98657715,0.9778481
0,0,0,1,4,0,false,1.0033784,0.99352753,1.0102739,0.98630136,1.097561,1.1186441,1.0385852,1.1129568,4,3,1.006734,1.0031446,1.0065573,0.98417723,1.137457,0.93125,0.9966443,0.99050635
0,0,0,1,4,0,true,1.0371622,1.0323625,1.0479453,1.0376712,1.0905924,1.1050848,1.0289389,1.0863787,4,3,1.010101,1.009434,1.0163934,0.99050635,1.1202749,0.978125,0.9899329,0.99050635
0,0,0,1,5,2,false,0.9966216,1.0097088,1.0376712,1.0787672,1.0452962,1.0542372,1.0160772,1.0930233,4,3,0.98316497,0.9654088,0.9770492,0.9746835,1.1477664,0.978125,0.96644294,0.98417723
0,0,0,1,5,2,true,1.0135136,1.0161812,1.0273973,1.020548,1.0418118,1.0305085,1.0,1.0066445,4,3,0.989899,0.9779874,0.9934426,0.9746835,1.1580756,0.990625,0.9597315,0.9968355
0,0,0,2,1,0,false,0.99356914,0.99333334,0.99676377,1.0068729,0.9934211,0.98402554,0.9904762,0.98697066,4,3,1.0098039,1.0032787,1.0033333,0.99378884,1.0461539,0.9899329,0.9836066,1.0035088
0,0,0,2,1,1,false,0.9678457,0.98,1.0032363,1.0343642,0.8947368,0.8881789,0.96825397,0.9153094,4,3,1.0261438,1.052459,1.0433333,1.0124223,1.0153847,0.9832215,0.9770492,0.9859649
0,0,0,2,1,2,false,0.97427654,0.98333335,0.987055,1.0103092,0.9572368,0.942492,0.96825397,0.9576547,4,3,0.996732,0.9967213,1.0,0.9782609,0.9907692,0.9127517,0.96065575,0.98245615
0,0,0,2,2,0,true,0.9581994,0.97333336,0.99352753,1.0171821,0.90789473,0.8945687,0.96507937,0.9218241,4,3,0.98039216,0.9147541,0.94666666,0.9720497,0.96615386,0.97651005,0.96065575,1.0280702
0,0,0,2,2,1,true,0.99678457,1.0066667,1.0194175,1.04811,0.90460527,0.89776355,0.9746032,0.9153094,4,3,0.9575163,0.8885246,0.93,0.9689441,0.94769233,1.0100671,0.9573771,1.0280702
0,0,0,2,2,2,true,1.0096463,1.03,1.0420712,1.0687286,0.8947368,0.8881789,0.9714286,0.9153094,4,3,0.9705882,0.9114754,0.94,0.9782609,0.96307695,1.0134228,0.9377049,1.0280702
0,0,0,2,3,1,false,0.97427654,0.99333334,1.0,1.0206186,0.8980263,0.8785942,0.96825397,0.89250815,4,3,0.96732026,0.895082,0.92333335,0.95652175,0.95692307,0.9328859,0.9704918,1.0280702
0,0,0,2,3,1,true,1.0064309,1.0233333,1.02589,1.0584192,0.90789473,0.8913738,0.9746032,0.9055375,4,3,0.9346405,0.86557376,0.9066667,0.9627329,0.91384614,1.0167785,0.9672131,1.0175439
0,0,0,2,4,0,false,0.9581994,0.97,0.98381877,1.0068729,0.875,0.85623,0.95873016,0.8859935,4,3,0.9607843,0.90163934,0.93333334,0.9627329,0.9230769,0.96644294,0.9704918,1.0210526
0,0,0,2,4,0,true,0.977492,0.9866667,0.99676377,1.024055,0.8947368,0.88178915,0.96507937,0.9120521,4,3,0.95098037,0.8885246,0.92333335,0.9689441,0.9107692,1.0,0.9639344,1.0245614
0,0,0,2,5,2,false,0.9710611,0.99,0.99029124,1.024055,0.84539473,0.8210863,0.96507937,0.85667753,4,3,0.9607843,0.9245902,0.94666666,0.9720497,0.9015385,0.9597315,0.947541,1.0105263
0,0,0,2,5,2,true,0.94212216,0.9766667,0.99676377,1.0412371,0.82894737,0.80191696,0.94920635,0.84039086,4,3,0.96405226,0.92786884,0.9533333,0.9751553,0.8953846,0.95637584,0.9409836,1.0280702
0,0,0,3,1,0,false,1.0,0.9931507,0.99006623,0.989726,0.9896552,0.9903226,0.9967213,1.0,4,3,0.98316497,0.989899,1.0,1.0,0.9678457,0.98697066,0.99661016,0.99674267
0,0,0,3,1,1,false,0.96666664,0.9623288,0.9701987,0.98630136,0.94827586,0.9548387,0.98688525,0.99658704,4,3,0.96633,0.97306395,0.99348533,1.0096774,0.9453376,1.009772,0.979661,0.990228
0,0,0,3,1,2,false,0.9766667,0.9828767,0.98344374,0.99657536,0.9758621,0.97096777,0.9967213,0.99658704,4,3,0.96633,0.996633,1.009772,1.0129032,0.9356913,1.0,0.9762712,0.9739414
