Finger,Stage,Level,Bend,Cols1,Rows1,SG1_0,SG1_1,SG1_2,SG1_3,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,Cols3,Rows3,SG3_0,SG3_1,SG3_2,SG3_3,Cols4,Rows4,SG4_0,SG4_1,SG4_2,SG4_3
0,1,0,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
0,1,1,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
0,1,2,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
0,2,0,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
0,2,1,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
0,2,2,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
0,3,1,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
0,3,1,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
0,4,0,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
0,4,0,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
0,5,2,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
0,5,2,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,1,0,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,1,1,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,1,2,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,2,0,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,2,1,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,2,2,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,3,1,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,3,1,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,4,0,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,4,0,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,5,2,false,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
1,5,2,true,0,0,NaN,NaN,NaN,NaN,0,2,NaN,NaN,NaN,NaN,4,1,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN
