Gesture,Times,Line1,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,SG1_8,Line2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7,SG2_8,SG2_9
5,0,0,0.9310345,0.7605178,0.8994083,0.97159094,1.1149826,0.9778598,0.94382024,0.9896552,0.9592593,1,0.9673913,1.1573427,0.8835617,0.9367589,0.9681979,1.1061225,0.91636366,0.9634146,0.978979,1.1163522
5,0,0,0.9310345,0.7605178,0.8994083,0.97159094,1.1149826,0.9778598,0.94382024,0.9896552,0.9592593,1,0.9673913,1.1573427,0.8835617,0.9367589,0.9681979,1.1061225,0.91636366,0.9634146,0.978979,1.1163522
5,0,0,0.9310345,0.7605178,0.8994083,0.97159094,1.1149826,0.9778598,0.94382024,0.9896552,0.9592593,1,0.9673913,1.1573427,0.8835617,0.9367589,0.9681979,1.1061225,0.91636366,0.9634146,0.978979,1.1163522
5,0,0,0.9310345,0.7605178,0.8994083,0.97159094,1.1149826,0.9778598,0.94382024,0.9896552,0.9592593,1,0.9673913,1.1573427,0.8835617,0.9367589,0.9681979,1.1061225,0.91636366,0.9634146,0.978979,1.1163522
5,0,0,0.9310345,0.7605178,0.8994083,0.97159094,1.1149826,0.9778598,0.94382024,0.9896552,0.9592593,1,0.9673913,1.1573427,0.8835617,0.9367589,0.9681979,1.1061225,0.91636366,0.9634146,0.978979,1.1163522
5,0,0,0.9463602,0.75728154,0.9023669,0.9744318,1.1149826,0.9778598,0.94756556,0.9896552,0.9592593,1,0.9710145,1.1608392,0.8835617,0.94071144,0.9681979,1.1061225,0.92,0.9634146,0.978979,1.1163522
5,0,0,0.93869734,0.75728154,0.9023669,0.97727275,1.1184669,0.9778598,0.94756556,0.9862069,0.9592593,1,0.9710145,1.1573427,0.88013697,0.9367589,0.9681979,1.1061225,0.92,0.9634146,0.972973,1.1100628
5,0,0,0.9348659,0.75728154,0.8994083,0.97727275,1.1184669,0.9778598,0.94756556,0.9862069,0.9592593,1,0.9673913,1.1538461,0.88013697,0.9367589,0.9681979,1.1020408,0.92,0.9512195,0.972973,1.1069182
5,0,0,0.95019156,0.75728154,0.8994083,0.9801136,1.1184669,0.9778598,0.9513109,0.9896552,0.96666664,1,0.9673913,1.1573427,0.88013697,0.9367589,0.9717314,1.1061225,0.92,0.9634146,0.972973,1.1100628
5,0,0,0.9348659,0.75728154,0.8964497,0.97727275,1.1184669,0.9778598,0.94756556,0.9862069,0.9592593,1,0.9673913,1.1538461,0.88013697,0.9367589,0.9717314,1.1020408,0.92,0.96747965,0.972973,1.1100628
5,0,0,0.9310345,0.75728154,0.8994083,0.97727275,1.1149826,0.9778598,0.94756556,0.9862069,0.96666664,1,0.9673913,1.1573427,0.88013697,0.9367589,0.9717314,1.1061225,0.92,0.9593496,0.972973,1.1132076
5,0,0,0.9578544,0.75728154,0.8994083,0.97727275,1.1149826,0.9778598,0.94756556,0.9862069,0.97037035,1,0.9673913,1.1573427,0.8767123,0.9367589,0.9717314,1.1020408,0.92,0.9634146,0.972973,1.1132076
5,0,0,0.95019156,0.75728154,0.89349115,0.97727275,1.1114982,0.97416973,0.94382024,0.9862069,0.95555556,1,0.9673913,1.1573427,0.8767123,0.9367589,0.9717314,1.1020408,0.91636366,0.95528454,0.972973,1.1132076
5,0,0,0.96168584,0.75728154,0.8994083,0.97727275,1.1149826,0.9778598,0.94382024,0.9862069,0.96666664,1,0.9637681,1.1573427,0.8767123,0.9367589,0.9717314,1.1061225,0.92,0.9512195,0.972973,1.1132076
5,0,0,0.96168584,0.75728154,0.8964497,0.97727275,1.1149826,0.97416973,0.94382024,0.9862069,0.962963,1,0.9637681,1.1538461,0.8767123,0.9367589,0.9717314,1.1020408,0.92,0.9512195,0.972973,1.1132076
5,0,0,0.95019156,0.7605178,0.8964497,0.97727275,1.1149826,0.97416973,0.94382024,0.9862069,0.96666664,1,0.9673913,1.1573427,0.8767123,0.9367589,0.9717314,1.1020408,0.91636366,0.9512195,0.972973,1.1132076
5,0,0,0.95019156,0.7605178,0.8964497,0.9801136,1.1149826,0.9778598,0.94756556,0.9862069,0.95555556,1,0.9637681,1.1573427,0.88013697,0.9367589,0.9717314,1.1020408,0.92,0.9512195,0.975976,1.1132076
5,0,0,0.95019156,0.7605178,0.89349115,0.97727275,1.1149826,0.9778598,0.94756556,0.9862069,0.95185184,1,0.9637681,1.1538461,0.88013697,0.9367589,0.9681979,1.1020408,0.92,0.9512195,0.978979,1.1132076
5,0,0,0.9578544,0.7605178,0.8964497,0.9801136,1.1149826,0.9778598,0.9513109,0.9862069,0.95555556,1,0.9637681,1.1573427,0.88013697,0.94071144,0.9717314,1.1020408,0.92,0.9512195,0.978979,1.1132076
