Finger,Stage,Level,Bend,Cols1,Rows1,SG1_0,SG1_1,SG1_2,SG1_3,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,Cols3,Rows3,SG3_0,SG3_1,SG3_2,SG3_3,Cols4,Rows4,SG4_0,SG4_1,SG4_2,SG4_3
0,1,0,false,0,0,1.0110701,1.0106007,0.99658704,0.99671054,0,2,1.0034482,0.9807074,0.98397434,0.98142415,4,1,0.9433333,0.9431438,0.93877554,0.9460432,4,3,0.9470199,0.9665552,0.959596,0.96753246
0,1,1,false,0,0,1.2804428,0.7349823,1.2559727,0.61513156,0,2,1.1137931,0.4726688,0.9102564,0.498452,4,1,0.94,1.0267558,1.0442177,0.9928058,4,3,1.0596026,1.006689,1.057239,0.96103895
0,1,2,false,0,0,0.82656825,1.0989399,0.84641635,1.0559211,0,2,0.9034483,0.91961414,0.8141026,0.9349845,4,1,0.8666667,0.9063545,0.81632656,0.9460432,4,3,0.87086093,0.9297659,0.87205386,1.0064934
0,2,0,true,0,0,0.9188192,0.90106004,0.94880545,0.9111842,0,2,0.8137931,0.9067524,0.7852564,0.89164084,4,1,0.95666665,0.9632107,0.96258503,0.9316547,4,3,0.8907285,0.9866221,0.9158249,0.9285714
0,2,1,true,0,0,1.0147601,0.6749117,1.0511945,0.6480263,0,2,0.8862069,0.10932476,0.6057692,0.1486068,4,1,0.92333335,1.0200669,1.0306122,0.9676259,4,3,0.9470199,0.9866221,0.97306395,0.85714287
0,2,2,true,0,0,0.8560886,0.89045936,0.87713313,0.90789473,0,2,0.6758621,0.8745981,0.6666667,0.84210527,4,1,0.91,1.0100335,0.91156465,0.9928058,4,3,0.9437086,0.9531773,0.9124579,0.90584415
0,3,1,false,0,0,1.1734318,0.6572438,1.1877133,0.5855263,0,2,1.0586207,0.3376206,0.86538464,0.39318886,4,1,0.95,1.0367893,1.0374149,0.9784173,4,3,0.9701987,1.0100335,0.989899,0.9253247
0,3,1,true,0,0,0.99630994,0.6183746,1.0546075,0.6019737,0,2,0.9862069,0.009646302,0.5897436,0.0030959751,4,1,0.88,1.0267558,1.0340136,0.9640288,4,3,0.95695364,0.97324413,0.97643095,0.83766234
0,4,0,false,0,0,0.9335793,0.94699645,0.9556314,0.9802632,0,2,0.9034483,0.926045,0.8269231,0.9318885,4,1,0.99333334,0.9464883,0.97959185,0.91007197,4,3,0.884106,0.9632107,0.9326599,0.8863636
0,4,0,true,0,0,0.9372694,0.84805655,0.97269624,0.8947368,0,2,0.7172414,0.92282957,0.72115386,0.873065,4,1,0.96,0.96989965,0.96938777,0.9316547,4,3,0.8874172,0.97324413,0.9158249,0.8766234
0,5,2,false,0,0,0.8929889,1.0530035,0.8976109,1.0592105,0,2,0.9172414,0.926045,0.80448717,0.9287926,4,1,0.85333335,0.8795987,0.82653064,0.9172662,4,3,0.84437084,0.9531773,0.84175086,0.9577922
0,5,2,true,0,0,0.8597786,0.9858657,0.8498294,0.9934211,0,2,0.86551726,0.903537,0.7724359,0.8978328,4,1,0.8433333,0.916388,0.82312924,0.9460432,4,3,0.86754966,0.95652175,0.86531985,0.95454544
1,1,0,false,0,0,0.90774906,0.97879857,0.92491466,1.0065789,0,2,0.87931037,0.9356913,0.8269231,0.9226006,4,1,0.92333335,0.91973245,0.8979592,0.9172662,4,3,0.91721857,0.9297659,0.9057239,0.8896104
1,1,1,false,0,0,0.8708487,0.93286216,0.87713313,0.93421054,0,2,0.8344827,0.9163987,0.7916667,0.9009288,4,1,0.93666667,0.9297659,0.9285714,0.91007197,4,3,0.9139073,0.9464883,0.9057239,0.8831169
1,1,2,false,0,0,0.9704797,0.9293286,1.0136518,0.9638158,0,2,0.9413793,0.91961414,0.85897434,0.91640866,4,1,0.86333334,0.90301,0.8333333,0.92086333,4,3,0.87086093,0.9431438,0.8518519,0.90909094
1,2,0,true,0,0,0.9151291,0.96113074,0.92491466,0.9802632,0,2,0.91034484,0.93247586,0.8301282,0.9226006,4,1,0.8933333,0.90301,0.88435376,0.91366905,4,3,0.9139073,0.97324413,0.90909094,0.91883117
1,2,1,true,0,0,0.9114391,0.7738516,0.84641635,0.8190789,0,2,0.8931034,0.90996784,0.8301282,0.9102167,4,1,0.9033333,0.9063545,0.90816325,0.91366905,4,3,0.95033115,0.9632107,0.9259259,0.90909094
1,2,2,true,0,0,0.92250925,0.9293286,0.9044369,0.95394737,0,2,0.762069,0.9356913,0.7467949,0.88544893,4,1,0.8433333,0.9264214,0.8197279,0.92805755,4,3,0.8874172,0.97324413,0.86868685,0.9350649
1,3,1,false,0,0,0.82656825,0.8833922,0.8122867,0.8980263,0,2,0.71034485,0.948553,0.73717946,0.8885449,4,1,0.91333336,0.90301,0.9183673,0.9064748,4,3,0.95033115,0.9431438,0.90909094,0.85064936
1,3,1,true,0,0,0.8302583,0.7208481,0.81569964,0.7993421,0,2,0.7827586,0.92926043,0.77884614,0.8978328,4,1,0.92,0.8762542,0.9217687,0.9028777,4,3,0.99006623,0.95652175,0.94276094,0.85714287
1,4,0,false,0,0,0.8523985,0.93286216,0.87030715,0.96710527,0,2,0.79310346,0.9614148,0.7916667,0.91950464,4,1,0.94,0.909699,0.9319728,0.9028777,4,3,0.95364237,0.9531773,0.9292929,0.8603896
