Finger,Stage,Level,Bend,Cols1,Rows1,SG1_0,SG1_1,SG1_2,SG1_3,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,Cols3,Rows3,SG3_0,SG3_1,SG3_2,SG3_3,Cols4,Rows4,SG4_0,SG4_1,SG4_2,SG4_3
0,1,0,false,0,0,0.9708738,0.99635035,0.9587629,1.0142349,0,2,0.99649125,1.0350318,0.9828767,1.0397351,4,1,1.0036101,0.9737705,0.9966555,0.97619045,4,3,1.0067797,0.9966997,1.0034722,0.9812734
0,1,1,false,0,0,0.98381877,0.770073,0.88659793,0.772242,0,2,1.1263158,0.8312102,1.1643835,0.8178808,4,1,0.9855596,1.0098361,1.0167224,0.99319726,4,3,1.0135593,1.0033003,1.0069444,0.9325843
0,1,2,false,0,0,0.86084145,0.91240877,0.8213059,0.9430605,0,2,0.8736842,0.97133756,0.80479455,0.98344374,4,1,0.96750903,0.9672131,0.9598662,0.9727891,4,3,1.0067797,0.97359735,0.9930556,0.9400749
0,2,0,true,0,0,0.85760516,0.73722625,0.8041237,0.75088966,0,2,0.9017544,0.65286624,0.92808217,0.6192053,4,1,0.92779785,1.0196722,1.0033445,0.99319726,4,3,1.0169492,0.990099,1.0138888,0.8576779
0,2,1,true,0,0,0.80582523,0.68613136,0.72164947,0.66903913,0,2,1.0105263,0.43312103,1.0102739,0.31456953,4,1,0.8700361,1.0229508,1.0100335,0.99319726,4,3,1.0305085,1.0033003,1.03125,0.8202247
0,2,2,true,0,0,0.9029126,0.689781,0.84192437,0.7188612,0,2,1.0210526,0.8121019,1.0445205,0.821192,4,1,0.9314079,1.0163934,0.9765886,0.9897959,4,3,1.0135593,0.9570957,1.0,0.83146065
0,3,1,false,0,0,0.9093851,0.7007299,0.8041237,0.6975089,0,2,1.0491228,0.68471336,0.9931507,0.6357616,4,1,0.93501806,1.0229508,1.0,1.0,4,3,1.0135593,0.9867987,1.0034722,0.88014984
0,3,1,true,0,0,0.776699,0.66423357,0.6597938,0.6797153,0,2,0.99298245,0.4936306,0.9589041,0.40066224,4,1,0.9025271,1.0393443,1.0,0.99659866,4,3,1.0271187,1.0,1.0243056,0.82397
0,4,0,false,0,0,0.8770226,0.7080292,0.80756015,0.75088966,0,2,1.0280702,0.7993631,0.98630136,0.78807944,4,1,0.9494585,1.0032787,0.96989965,0.97959185,4,3,1.0,0.96039605,0.9930556,0.85393256
0,4,0,true,0,0,0.802589,0.6459854,0.72164947,0.6868327,0,2,1.0035088,0.67197454,1.0136986,0.678808,4,1,0.9241877,1.0295082,0.9799331,0.9897959,4,3,1.0135593,0.97359735,1.0069444,0.82771534
