Finger,Stage,Level,Bend,Cols1,Rows1,SG1_0,SG1_1,SG1_2,SG1_3,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,Cols3,Rows3,SG3_0,SG3_1,SG3_2,SG3_3,Cols4,Rows4,SG4_0,SG4_1,SG4_2,SG4_3
0,1,0,false,0,0,0.9963768,0.9933775,0.99642855,0.9866667,0,2,0.98101264,0.9836066,0.96463025,0.9659864,4,1,0.9506173,0.975,0.96805114,0.9667774,4,3,0.9758621,0.9652778,0.96732026,0.9692833
0,1,1,false,0,0,1.173913,0.7350993,1.1714286,0.78,0,2,1.022152,0.52131146,1.0,0.48639455,4,1,0.9845679,1.015625,1.111821,1.0232558,4,3,1.1275862,1.03125,1.0555556,0.97952217
0,1,2,false,0,0,0.9202899,1.0827814,0.91785717,1.0733334,0,2,0.99050635,1.0,0.97427654,0.9557823,4,1,0.9074074,0.934375,0.84664536,0.92358804,4,3,0.87586206,0.8888889,0.8888889,0.96245736
0,2,0,true,0,0,0.9492754,0.9403973,0.9392857,0.97333336,0,2,0.8924051,0.9377049,0.93247586,0.914966,4,1,0.9382716,0.984375,0.95527154,0.9667774,4,3,0.9551724,0.9583333,0.9607843,0.9453925
0,2,1,true,0,0,1.2101449,0.5794702,1.1678572,0.6766667,0,2,0.95886075,0.04262295,1.0514469,0.006802721,4,1,0.83641976,0.971875,1.0607029,0.9900332,4,3,1.1137931,1.0104166,1.0490196,0.9351536
0,2,2,true,0,0,1.268116,0.93046355,1.1357143,0.96666664,0,2,0.95886075,1.0262295,0.9807074,0.9863946,4,1,0.8796296,0.91875,0.8402556,0.91362125,4,3,0.8862069,0.8888889,0.90849674,0.9044369
0,3,1,false,0,0,1.1594203,0.6423841,1.1535715,0.72,0,2,1.0664557,0.14754099,1.1993569,0.006802721,4,1,0.8518519,0.965625,1.0670927,0.9667774,4,3,1.1206896,1.0,1.0490196,0.9590444
0,3,1,true,0,0,1.1485507,0.5596027,1.1071428,0.66333336,0,2,0.9651899,0.039344262,1.0482315,0.006802721,4,1,0.8240741,0.93125,1.0191693,0.95681065,4,3,1.0965518,0.9618056,1.0326798,0.90102386
0,4,0,false,0,0,0.8369565,0.95364237,0.89285713,0.96,0,2,0.9113924,0.9770492,0.9581994,0.9455782,4,1,0.89506173,0.959375,0.8945687,0.94684386,4,3,0.92413795,0.9340278,0.9346405,0.9146758
0,4,0,true,0,0,0.7753623,0.96357614,0.8535714,0.9766667,0,2,0.943038,0.91803277,0.9389067,0.89115644,4,1,0.86728394,0.928125,0.8210863,0.9302326,4,3,0.8827586,0.8819444,0.9150327,0.89419794
0,5,2,false,0,0,1.0507246,1.0298014,0.95714283,1.06,0,2,1.0379747,1.0163934,1.0032154,0.99319726,4,1,0.8148148,0.7875,0.6645367,0.8305648,4,3,0.77931035,0.7708333,0.8169935,0.8737201
0,5,2,true,0,0,0.9927536,0.95364237,0.9392857,0.99,0,2,0.95253164,0.9704918,0.9581994,0.9489796,4,1,0.8580247,0.890625,0.7795527,0.9003322,4,3,0.85172415,0.8506944,0.87908494,0.887372
1,1,0,false,0,0,0.8876812,0.9470199,0.9071429,0.9633333,0,2,0.81962025,0.9311475,0.90996784,0.9047619,4,1,0.88580245,0.98125,0.8945687,0.96345514,4,3,0.92068964,0.90625,0.9346405,0.8634812
1,1,1,false,0,0,1.1775362,0.8807947,1.075,0.87333333,0,2,0.78797466,0.9409836,0.90032154,0.90816325,4,1,0.94135803,0.940625,0.9776358,0.9302326,4,3,0.90689653,0.9444444,0.9248366,0.93174064
1,1,2,false,0,0,0.93115944,0.86092716,0.94285715,0.9,0,2,0.79113925,0.9147541,0.8231511,0.9047619,4,1,0.94135803,0.95,0.9776358,0.9335548,4,3,0.93448275,0.9166667,0.9150327,0.90784985
1,2,0,true,0,0,0.95652175,0.90066224,0.92142856,0.92333335,0,2,0.7848101,0.9311475,0.86173636,0.914966,4,1,0.92901236,0.975,0.96805114,0.9435216,4,3,0.94482756,0.9305556,0.9411765,0.88395905
1,2,1,true,0,0,1.1702899,0.80463576,1.05,0.8333333,0,2,0.76898736,0.91803277,0.8585209,0.8877551,4,1,0.962963,0.89375,1.0191693,0.91362125,4,3,0.9551724,0.9236111,0.9444444,0.89419794
1,2,2,true,0,0,0.8768116,0.8344371,0.9071429,0.87,0,2,0.7753165,0.90819675,0.7717042,0.90816325,4,1,0.97530866,0.828125,1.0255591,0.8870432,4,3,0.9517241,0.9097222,0.90849674,0.9044369
1,3,1,false,0,0,1.1304348,0.821192,1.0571429,0.81666666,0,2,0.75,0.8819672,0.84887457,0.8707483,4,1,0.94753087,0.93125,1.0,0.91362125,4,3,0.92068964,0.9236111,0.9248366,0.890785
1,3,1,true,0,0,1.2028985,0.8178808,1.0892857,0.82,0,2,0.7563291,0.90819675,0.8585209,0.88435376,4,1,0.9722222,0.90625,1.0223643,0.9003322,4,3,0.93793106,0.9340278,0.9411765,0.9044369
1,4,0,false,0,0,0.9202899,0.8178808,0.95357144,0.8666667,0,2,0.76582277,0.895082,0.85209006,0.88435376,4,1,0.9382716,0.95625,0.99041533,0.9269103,4,3,0.94827586,0.90625,0.9379085,0.86006826
1,4,0,true,0,0,0.92391306,0.83112586,0.925,0.88,0,2,0.7848101,0.9114754,0.8585209,0.8979592,4,1,0.9537037,0.95,0.99680513,0.9202658,4,3,0.9275862,0.9131944,0.9313725,0.8737201
1,5,2,false,0,0,0.89855075,0.8410596,0.96428573,0.85333335,0,2,0.8544304,0.89836067,0.82636654,0.8979592,4,1,0.94135803,0.903125,0.98083067,0.89700997,4,3,0.9172414,0.8923611,0.8888889,0.9044369
1,5,2,true,0,0,0.92391306,0.80463576,0.93214285,0.83666664,0,2,0.76898736,0.8819672,0.8038585,0.8741497,4,1,0.9537037,0.91875,1.0,0.90697676,4,3,0.93448275,0.8993056,0.9150327,0.88395905
2,1,0,false,0,0,0.9347826,0.84437084,0.9464286,0.87666667,0,2,0.7753165,0.904918,0.8553055,0.89115644,4,1,0.9259259,0.946875,0.971246,0.9269103,4,3,0.92413795,0.9131944,0.9281046,0.8634812
2,1,1,false,0,0,0.9347826,0.84437084,0.95357144,0.85,0,2,0.8037975,0.89180326,0.8553055,0.877551,4,1,0.9444444,0.915625,0.98083067,0.91694355,4,3,0.91034484,0.9027778,0.9150327,0.87713313
2,1,2,false,0,0,0.8695652,0.8245033,0.89285713,0.8333333,0,2,0.7531645,0.89180326,0.81672025,0.89115644,4,1,0.94753087,0.865625,1.0127796,0.9003322,4,3,0.96896553,0.9305556,0.9248366,0.87713313
2,2,0,true,0,0,0.8768116,0.8907285,0.9035714,0.88,0,2,0.79113925,0.86557376,0.82636654,0.8503401,4,1,0.94135803,0.921875,0.9776358,0.9302326,4,3,0.9517241,0.8993056,0.9346405,0.8430034
2,2,1,true,0,0,0.865942,0.8807947,0.9,0.9,0,2,0.863924,0.9114754,0.8681672,0.88095236,4,1,1.0308642,0.8,1.0255591,0.86378735,4,3,0.93793106,0.8819444,0.9313725,0.8498294
2,2,2,true,0,0,0.76086956,0.8410596,0.8,0.84,0,2,0.7816456,0.86885244,0.7909968,0.85374147,4,1,1.0401235,0.8,1.0766773,0.88372093,4,3,0.9896552,0.90625,0.9444444,0.83959043
2,3,1,false,0,0,0.8695652,0.87086093,0.8964286,0.8566667,0,2,0.8291139,0.8819672,0.85209006,0.86734694,4,1,0.95987654,0.846875,0.9776358,0.86378735,4,3,0.8862069,0.875,0.89542484,0.83959043
2,3,1,true,0,0,0.9456522,0.8907285,0.9678571,0.88666666,0,2,0.8607595,0.92786884,0.8681672,0.90816325,4,1,1.0030864,0.81875,1.0127796,0.8604651,4,3,0.8862069,0.8958333,0.9117647,0.8566553
2,4,0,false,0,0,0.8876812,0.8543046,0.9142857,0.87,0,2,0.78797466,0.8885246,0.8553055,0.8639456,4,1,0.9351852,0.9125,0.98083067,0.89700997,4,3,0.92068964,0.8854167,0.9183006,0.83617747
2,4,0,true,0,0,0.81884056,0.884106,0.8642857,0.89,0,2,0.8037975,0.8786885,0.8424437,0.8605442,4,1,0.9660494,0.840625,1.0,0.8770764,4,3,0.93793106,0.8923611,0.9281046,0.8327645
2,5,2,false,0,0,0.7427536,0.8344371,0.82857144,0.8333333,0,2,0.76265824,0.87213117,0.7845659,0.88095236,4,1,0.962963,0.8375,1.0159744,0.87375414,4,3,0.94827586,0.8888889,0.89542484,0.83959043
2,5,2,true,0,0,0.7717391,0.884106,0.83928573,0.87666667,0,2,0.79746836,0.8819672,0.8231511,0.85714287,4,1,1.0,0.83125,1.0319489,0.88372093,4,3,0.962069,0.8923611,0.9346405,0.8327645
3,1,0,false,0,0,0.84782606,0.86754966,0.8964286,0.87333333,0,2,0.7943038,0.87213117,0.84565914,0.85374147,4,1,0.962963,0.925,1.0063897,0.90365446,4,3,0.93448275,0.8784722,0.9150327,0.8191126
3,1,1,false,0,0,0.8152174,0.90066224,0.88214284,0.87333333,0,2,0.8037975,0.8590164,0.8327974,0.8435374,4,1,0.95987654,0.878125,0.98083067,0.91362125,4,3,0.9137931,0.8923611,0.90522873,0.8327645
3,1,2,false,0,0,0.81884056,0.90066224,0.88214284,0.87,0,2,0.79746836,0.8590164,0.8424437,0.85374147,4,1,0.8425926,0.803125,0.9009585,0.85714287,4,3,0.95862067,0.8055556,0.9183006,0.7849829
3,2,0,true,0,0,0.8043478,0.910596,0.8857143,0.8933333,0,2,0.8227848,0.8622951,0.8424437,0.8435374,4,1,0.94753087,0.875,1.0255591,0.90697676,4,3,1.1137931,0.7604167,0.98039216,0.7542662
3,2,1,true,0,0,0.7862319,0.89735097,0.86785716,0.86333334,0,2,0.8101266,0.852459,0.79742765,0.85714287,4,1,1.0833334,0.83125,1.0607029,0.9202658,4,3,0.99310344,0.8368056,0.9346405,0.8191126
3,2,2,true,0,0,0.7753623,0.8774834,0.85,0.86333334,0,2,0.8037975,0.8557377,0.8038585,0.85374147,4,1,0.9537037,0.775,1.0095847,0.8704319,4,3,1.0,0.7986111,0.9281046,0.7918089
