Finger,Stage,Level,Bend,Cols1,Rows1,SG1_0,SG1_1,SG1_2,SG1_3,Cols2,Rows2,SG2_0,SG2_1,SG2_2,SG2_3,Cols3,Rows3,SG3_0,SG3_1,SG3_2,SG3_3,Cols4,Rows4,SG4_0,SG4_1,SG4_2,SG4_3
0,1,0,false,0,0,0.97508895,0.9756944,0.975945,0.98913044,0,2,0.9735099,1.0096774,0.97887325,1.0070175,4,1,1.0066667,0.97427654,0.98566306,0.9755245,4,3,0.99293286,0.9459459,0.96507937,0.9312715
0,1,1,false,0,0,1.1708184,0.5729167,1.0687286,0.65217394,0,2,1.1523179,0.42903227,1.3415493,0.8877193,4,1,1.0333333,1.0257235,1.0537634,1.0,4,3,1.0282686,1.0135136,1.0222223,0.9243986
0,1,2,false,0,0,0.88967973,1.1041666,0.71477664,1.1050725,0,2,1.0033113,0.8129032,0.9049296,0.877193,4,1,0.85,0.8745981,0.7562724,0.9020979,4,3,0.9222615,0.9054054,0.8666667,1.0652921
0,2,0,true,0,0,0.86121,0.8680556,0.77319586,0.8913044,0,2,0.794702,0.6967742,0.7887324,0.73333335,4,1,0.99,0.99678457,1.0107527,0.9825175,4,3,1.0388693,1.0101352,1.0126984,0.96219933
0,2,1,true,0,0,0.9644128,0.6041667,0.8900344,0.64855075,0,2,0.86754966,0.06774194,0.6619718,0.5473684,4,1,1.0166667,0.9517685,1.0430107,0.94055945,4,3,1.0035336,0.9459459,0.9904762,0.83505154
0,2,2,true,0,0,1.1957295,0.8159722,1.1271478,0.9130435,0,2,0.9337748,1.0774194,0.9330986,1.045614,4,1,0.9166667,0.9067524,0.83512545,0.9125874,4,3,0.9293286,0.847973,0.86031747,0.9725086
0,3,1,false,0,0,1.0925267,0.5,0.975945,0.59782606,0,2,0.9768212,0.30967742,1.1267606,0.6982456,4,1,1.0133333,0.9903537,1.0394266,0.96503496,4,3,1.0035336,0.9459459,1.0031747,0.85223365
0,3,1,true,0,0,0.9822064,0.53125,0.8969072,0.6086956,0,2,0.9768212,0.074193545,0.9471831,0.50877196,4,1,1.0066667,0.9581994,1.0430107,0.9370629,4,3,0.975265,0.9087838,0.9777778,0.79725087
0,4,0,false,0,0,0.88967973,0.7777778,0.8281787,0.8876812,0,2,0.87086093,0.9032258,0.8802817,0.93333334,4,1,1.01,0.98392284,0.9928315,0.9440559,4,3,0.94699645,0.875,0.94603175,0.85910654
0,4,0,true,0,0,0.9145908,0.6631944,0.84879726,0.7717391,0,2,0.8476821,0.683871,0.89084506,0.8105263,4,1,1.0066667,1.0,1.0215054,0.95804197,4,3,0.96466434,0.9290541,0.96190476,0.8797251
0,5,2,false,0,0,1.0676156,1.0034722,0.9209622,1.0942029,0,2,1.013245,1.0387096,0.95422536,1.0385965,4,1,0.88,0.88102895,0.7921147,0.90909094,4,3,0.91519433,0.8006757,0.83809525,0.9484536
0,5,2,true,0,0,1.0782918,0.8576389,0.975945,0.95652175,0,2,0.92384106,1.0258064,0.91549295,1.0035088,4,1,0.91333336,0.926045,0.8530466,0.9195804,4,3,0.90459365,0.847973,0.85396826,0.99312717
1,1,0,false,0,0,0.9786477,0.8958333,0.9140893,0.942029,0,2,0.92384106,1.016129,0.92957747,1.0,4,1,0.98,0.8745981,0.9569892,0.9020979,4,3,0.9257951,0.8378378,0.9238095,0.83505154
1,1,1,false,0,0,0.8967972,0.7013889,0.8281787,0.807971,0,2,0.92384106,1.032258,0.9507042,1.0140351,4,1,0.98333335,0.8971061,0.9247312,0.9125874,4,3,0.91519433,0.8716216,0.9206349,0.8728522
1,1,2,false,0,0,1.0142349,0.8020833,0.92783505,0.8369565,0,2,0.9768212,0.9935484,0.9330986,0.95789474,4,1,0.99333334,0.9614148,0.97849464,0.93356645,4,3,0.91519433,0.9155405,0.9206349,0.95189005
1,2,0,true,0,0,0.92170817,0.8541667,0.84879726,0.9094203,0,2,0.9403973,1.0064516,0.9330986,0.9754386,4,1,0.9266667,0.8938907,0.8637993,0.90909094,4,3,0.9081272,0.875,0.9174603,0.89347076
1,2,1,true,0,0,0.98932385,0.5902778,0.8969072,0.7717391,0,2,0.9337748,1.0580645,0.97183096,1.0105263,4,1,0.93666667,0.87138265,0.8458781,0.9020979,4,3,0.9081272,0.8783784,0.8984127,0.9072165
1,2,2,true,0,0,0.9466192,0.8298611,0.8006873,0.8369565,0,2,0.884106,0.89354837,0.8239437,0.8701754,4,1,0.9533333,0.90996784,0.9211469,0.9020979,4,3,0.90106004,0.8986486,0.9174603,0.9312715
1,3,1,false,0,0,0.80071175,0.7256944,0.73195875,0.8043478,0,2,0.8874172,0.9806452,0.9049296,0.9649123,4,1,0.99,0.89067525,0.953405,0.9055944,4,3,0.91872793,0.8783784,0.93015873,0.8659794
1,3,1,true,0,0,0.97508895,0.5729167,0.85223365,0.75,0,2,0.9205298,1.0387096,0.95422536,0.98245615,4,1,0.95,0.87138265,0.8637993,0.8951049,4,3,0.90106004,0.875,0.9015873,0.89347076
1,4,0,false,0,0,0.85765123,0.8402778,0.83161515,0.865942,0,2,0.90066224,0.92903227,0.88380283,0.9298246,4,1,0.99,0.91961414,0.9749104,0.90909094,4,3,0.9399293,0.875,0.93968254,0.8694158
1,4,0,true,0,0,0.8754448,0.8541667,0.8213059,0.884058,0,2,0.910596,0.9483871,0.89084506,0.9263158,4,1,0.95666665,0.9131833,0.9211469,0.9020979,4,3,0.90459365,0.8817568,0.9238095,0.88659793
1,5,2,false,0,0,0.9323843,0.7951389,0.84192437,0.8152174,0,2,0.9437086,0.9483871,0.8873239,0.9157895,4,1,0.98,0.9389067,0.9749104,0.91608393,4,3,0.90459365,0.8918919,0.8984127,0.9415808
1,5,2,true,0,0,0.9323843,0.8368056,0.8109966,0.8442029,0,2,0.90066224,0.9,0.8450704,0.8877193,4,1,1.0033333,0.95498395,1.0,0.9195804,4,3,0.91872793,0.9290541,0.93650794,0.95532644
2,1,0,false,0,0,0.8790036,0.8541667,0.84879726,0.8876812,0,2,0.9072848,0.93225807,0.8943662,0.9368421,4,1,0.99666667,0.926045,0.98207885,0.91608393,4,3,0.93286216,0.875,0.93650794,0.85910654
2,1,1,false,0,0,0.9003559,0.8368056,0.8797251,0.8623188,0,2,0.9072848,0.90645164,0.89084506,0.89824563,4,1,0.94,0.903537,0.86021507,0.90909094,4,3,0.9116608,0.8716216,0.9111111,0.8694158
2,1,2,false,0,0,0.8291815,0.8298611,0.78350514,0.8623188,0,2,0.8741722,0.90967745,0.86619717,0.9122807,4,1,0.99,0.90996784,0.9677419,0.8986014,4,3,0.9116608,0.8648649,0.9174603,0.8625429
2,2,0,true,0,0,0.9145908,0.8680556,0.85910654,0.89492756,0,2,0.9139073,0.9516129,0.89084506,0.9403509,4,1,0.93,0.76848876,0.827957,0.83566433,4,3,0.91872793,0.7668919,0.9015873,0.77319586
2,2,1,true,0,0,1.0711744,0.8333333,1.0343642,0.89492756,0,2,1.0397351,1.0096774,0.9859155,0.96842104,4,1,0.79333335,0.46945336,0.53046596,0.6818182,4,3,0.8657244,0.6993243,0.8126984,0.7457045
