Gesture,Times,Line1,SG1_0,SG1_1,SG1_2,SG1_3,SG1_4,SG1_5,SG1_6,SG1_7,SG1_8,Line2,SG2_0,SG2_1,SG2_2,SG2_3,SG2_4,SG2_5,SG2_6,SG2_7,SG2_8,SG2_9
10,0,0,0.77935946,1.1,0.3939394,0.61864406,0.8178808,1.0033113,0.8428571,0.82894737,0.8464567,1,0.89180326,0.8448276,0.9388489,1.0133333,0.95454544,1.04298,0.9943182,1.0588236,0.943038,0.9072848
10,0,0,0.77935946,1.1,0.3939394,0.61864406,0.8178808,1.0033113,0.8428571,0.82894737,0.8464567,1,0.89180326,0.8448276,0.9388489,1.0133333,0.95454544,1.04298,0.9943182,1.0588236,0.943038,0.9072848
10,0,0,0.77935946,1.1,0.3939394,0.61864406,0.8178808,1.0033113,0.8428571,0.82894737,0.8464567,1,0.89180326,0.8448276,0.9388489,1.0133333,0.95454544,1.04298,0.9943182,1.0588236,0.943038,0.9072848
10,0,0,0.77935946,1.1,0.3939394,0.61864406,0.8178808,1.0033113,0.8428571,0.82894737,0.8464567,1,0.89180326,0.8448276,0.9388489,1.0133333,0.95454544,1.04298,0.9943182,1.0588236,0.943038,0.9072848
10,0,0,0.77935946,1.1,0.3939394,0.61864406,0.8178808,1.0033113,0.8428571,0.82894737,0.8464567,1,0.89180326,0.8448276,0.9388489,1.0133333,0.95454544,1.04298,0.9943182,1.0588236,0.943038,0.9072848
10,0,0,0.797153,1.1,0.3939394,0.62288135,0.8178808,1.0033113,0.8428571,0.82894737,0.8425197,1,0.89180326,0.8448276,0.9352518,1.01,0.95454544,1.04298,0.9943182,1.0588236,0.943038,0.9072848
10,0,0,0.797153,1.0958333,0.3939394,0.62711865,0.8178808,1.0033113,0.8428571,0.82894737,0.8464567,1,0.89180326,0.8413793,0.9352518,1.01,0.95454544,1.04298,0.9943182,1.0588236,0.9462025,0.9139073
10,0,0,0.797153,1.0958333,0.3939394,0.62711865,0.8178808,1.0033113,0.8464286,0.8256579,0.8425197,1,0.89180326,0.8413793,0.9352518,1.01,0.95454544,1.04298,0.9943182,1.0588236,0.9462025,0.910596
10,0,0,0.81850535,1.0958333,0.3939394,0.63135594,0.821192,1.0033113,0.8464286,0.82894737,0.8464567,1,0.89180326,0.8413793,0.9352518,1.01,0.9577922,1.0458453,0.9943182,1.0619195,0.9462025,0.9139073
10,0,0,0.797153,1.0958333,0.3939394,0.63135594,0.821192,1.0033113,0.8428571,0.8256579,0.8425197,1,0.8885246,0.8448276,0.9352518,1.01,0.95454544,1.04298,0.9943182,1.0588236,0.9462025,0.910596
10,0,0,0.81850535,1.0958333,0.39772728,0.63135594,0.821192,1.0033113,0.8464286,0.82894737,0.8425197,1,0.89180326,0.8448276,0.9388489,1.01,0.95454544,1.0458453,0.9943182,1.0681114,0.9462025,0.910596
10,0,0,0.7935943,1.0958333,0.39772728,0.63135594,0.821192,1.0033113,0.8428571,0.8256579,0.8425197,1,0.89180326,0.8448276,0.9388489,1.01,0.95454544,1.0458453,0.9943182,1.0588236,0.9462025,0.910596
10,0,0,0.81850535,1.0958333,0.39772728,0.63135594,0.821192,1.0066226,0.8464286,0.82894737,0.8425197,1,0.89180326,0.84827584,0.9388489,1.01,0.95454544,1.0458453,0.9943182,1.0650154,0.9493671,0.9139073
10,0,0,0.81850535,1.0958333,0.39772728,0.63135594,0.821192,1.0033113,0.8464286,0.8256579,0.8425197,1,0.89180326,0.84827584,0.9388489,1.01,0.95454544,1.0458453,0.9943182,1.0588236,0.9462025,0.9139073
10,0,0,0.81850535,1.0958333,0.39772728,0.63135594,0.8245033,1.0033113,0.8464286,0.82894737,0.8503937,1,0.89180326,0.84827584,0.9388489,1.01,0.95454544,1.0458453,0.9943182,1.0619195,0.9462025,0.9139073
10,0,0,0.82206404,1.0958333,0.39772728,0.63135594,0.821192,1.0066226,0.8464286,0.82894737,0.8503937,1,0.89180326,0.84827584,0.9388489,1.01,0.95454544,1.0458453,0.9943182,1.0619195,0.9462025,0.910596
10,0,0,0.8078292,1.0958333,0.39772728,0.63135594,0.821192,1.0033113,0.8464286,0.8256579,0.8425197,1,0.89180326,0.8448276,0.9388489,1.01,0.95454544,1.04298,0.9943182,1.0588236,0.9462025,0.910596
10,0,0,0.8113879,1.0958333,0.39772728,0.63135594,0.821192,1.0066226,0.8464286,0.82894737,0.8503937,1,0.89180326,0.84827584,0.9388489,1.01,0.95454544,1.0458453,0.9943182,1.0650154,0.9493671,0.910596
10,0,0,0.78647685,1.0958333,0.39772728,0.63135594,0.821192,1.0033113,0.8464286,0.82894737,0.8543307,1,0.89180326,0.8448276,0.9388489,1.01,0.95454544,1.04298,0.9943182,1.0619195,0.9462025,0.9139073
10,0,0,0.80071175,1.0958333,0.39772728,0.63135594,0.821192,1.0033113,0.8464286,0.82894737,0.8464567,1,0.8885246,0.8448276,0.9388489,1.01,0.95454544,1.04298,0.9943182,1.0619195,0.9462025,0.9139073
11,0,0,0.81850535,1.1416667,0.33333334,0.5805085,0.7615894,0.9403973,1.0964285,0.8486842,0.8385827,1,0.852459,0.8103448,0.8776978,0.94,1.0,0.95702004,1.0880681,0.91640866,0.8544304,0.910596
